Data Download from NCSES Interactive Data Tool

Filters,Selected values
"Institution Name","Columbia Univ in the City of New York, Columbia University in the City of New York"

,,,"<measures>","Graduate Students by Demographic Characteristics and Enrollment",
"[Year]","[Institution Name]","[Broad Fields]","[Citizenship]",
"2016","Total for selected values","Total for selected values","Total for selected values","6,498",
"2016","Columbia University in the City of New York","Total for selected values","Total for selected values","6,498",
"2016","Columbia University in the City of New York","Biological sciences","Total for selected values","790",
"2016","Columbia University in the City of New York","Biological sciences","Foreign nationals","235",
"2016","Columbia University in the City of New York","Biological sciences","U.S. citizens and permanent residents (non-U.S. citizens holding green cards)","555",
"2016","Columbia University in the City of New York","Clinical medicine","Total for selected values","68",
"2016","Columbia University in the City of New York","Clinical medicine","Foreign nationals","16",
"2016","Columbia University in the City of New York","Clinical medicine","U.S. citizens and permanent residents (non-U.S. citizens holding green cards)","52",
"2016","Columbia University in the City of New York","Computer sciences","Total for selected values","562",
"2016","Columbia University in the City of New York","Computer sciences","Foreign nationals","398",
"2016","Columbia University in the City of New York","Computer sciences","U.S. citizens and permanent residents (non-U.S. citizens holding green cards)","164",
"2016","Columbia University in the City of New York","Earth, atmospheric, and ocean sciences","Total for selected values","252",
"2016","Columbia University in the City of New York","Earth, atmospheric, and ocean sciences","Foreign nationals","129",
"2016","Columbia University in the City of New York","Earth, atmospheric, and ocean sciences","U.S. citizens and permanent residents (non-U.S. citizens holding green cards)","123",
"2016","Columbia University in the City of New York","Engineering","Total for selected values","2,889",
"2016","Columbia University in the City of New York","Engineering","Foreign nationals","2,044",
"2016","Columbia University in the City of New York","Engineering","U.S. citizens and permanent residents (non-U.S. citizens holding green cards)","845",
"2016","Columbia University in the City of New York","Mathematics and statistics","Total for selected values","831",
"2016","Columbia University in the City of New York","Mathematics and statistics","Foreign nationals","757",
"2016","Columbia University in the City of New York","Mathematics and statistics","U.S. citizens and permanent residents (non-U.S. citizens holding green cards)","74",
"2016","Columbia University in the City of New York","Neurobiology and neuroscience","Total for selected values","102",
"2016","Columbia University in the City of New York","Neurobiology and neuroscience","Foreign nationals","8",
"2016","Columbia University in the City of New York","Neurobiology and neuroscience","U.S. citizens and permanent residents (non-U.S. citizens holding green cards)","94",
"2016","Columbia University in the City of New York","Other health","Total for selected values","22",
"2016","Columbia University in the City of New York","Other health","Foreign nationals","3",
"2016","Columbia University in the City of New York","Other health","U.S. citizens and permanent residents (non-U.S. citizens holding green cards)","19",
"2016","Columbia University in the City of New York","Physical sciences","Total for selected values","262",
"2016","Columbia University in the City of New York","Physical sciences","Foreign nationals","101",
"2016","Columbia University in the City of New York","Physical sciences","U.S. citizens and permanent residents (non-U.S. citizens holding green cards)","161",
"2016","Columbia University in the City of New York","Psychology","Total for selected values","35",
"2016","Columbia University in the City of New York","Psychology","Foreign nationals","4",
"2016","Columbia University in the City of New York","Psychology","U.S. citizens and permanent residents (non-U.S. citizens holding green cards)","31",
"2016","Columbia University in the City of New York","Social sciences","Total for selected values","685",
"2016","Columbia University in the City of New York","Social sciences","Foreign nationals","387",
"2016","Columbia University in the City of New York","Social sciences","U.S. citizens and permanent residents (non-U.S. citizens holding green cards)","298",
"2015","Total for selected values","Total for selected values","Total for selected values","6,194",
"2015","Columbia University in the City of New York","Total for selected values","Total for selected values","6,194",
"2015","Columbia University in the City of New York","Biological sciences","Total for selected values","739",
"2015","Columbia University in the City of New York","Biological sciences","Foreign nationals","234",
"2015","Columbia University in the City of New York","Biological sciences","U.S. citizens and permanent residents (non-U.S. citizens holding green cards)","505",
"2015","Columbia University in the City of New York","Clinical medicine","Total for selected values","73",
"2015","Columbia University in the City of New York","Clinical medicine","Foreign nationals","14",
"2015","Columbia University in the City of New York","Clinical medicine","U.S. citizens and permanent residents (non-U.S. citizens holding green cards)","59",
"2015","Columbia University in the City of New York","Computer sciences","Total for selected values","666",
"2015","Columbia University in the City of New York","Computer sciences","Foreign nationals","452",
"2015","Columbia University in the City of New York","Computer sciences","U.S. citizens and permanent residents (non-U.S. citizens holding green cards)","214",
"2015","Columbia University in the City of New York","Earth, atmospheric, and ocean sciences","Total for selected values","269",
"2015","Columbia University in the City of New York","Earth, atmospheric, and ocean sciences","Foreign nationals","151",
"2015","Columbia University in the City of New York","Earth, atmospheric, and ocean sciences","U.S. citizens and permanent residents (non-U.S. citizens holding green cards)","118",
"2015","Columbia University in the City of New York","Engineering","Total for selected values","2,581",
"2015","Columbia University in the City of New York","Engineering","Foreign nationals","1,909",
"2015","Columbia University in the City of New York","Engineering","U.S. citizens and permanent residents (non-U.S. citizens holding green cards)","672",
"2015","Columbia University in the City of New York","Mathematics and statistics","Total for selected values","840",
"2015","Columbia University in the City of New York","Mathematics and statistics","Foreign nationals","765",
"2015","Columbia University in the City of New York","Mathematics and statistics","U.S. citizens and permanent residents (non-U.S. citizens holding green cards)","75",
"2015","Columbia University in the City of New York","Neurobiology and neuroscience","Total for selected values","95",
"2015","Columbia University in the City of New York","Neurobiology and neuroscience","Foreign nationals","12",
"2015","Columbia University in the City of New York","Neurobiology and neuroscience","U.S. citizens and permanent residents (non-U.S. citizens holding green cards)","83",
"2015","Columbia University in the City of New York","Other health","Total for selected values","26",
"2015","Columbia University in the City of New York","Other health","Foreign nationals","3",
"2015","Columbia University in the City of New York","Other health","U.S. citizens and permanent residents (non-U.S. citizens holding green cards)","23",
"2015","Columbia University in the City of New York","Physical sciences","Total for selected values","248",
"2015","Columbia University in the City of New York","Physical sciences","Foreign nationals","90",
"2015","Columbia University in the City of New York","Physical sciences","U.S. citizens and permanent residents (non-U.S. citizens holding green cards)","158",
"2015","Columbia University in the City of New York","Psychology","Total for selected values","38",
"2015","Columbia University in the City of New York","Psychology","Foreign nationals","7",
"2015","Columbia University in the City of New York","Psychology","U.S. citizens and permanent residents (non-U.S. citizens holding green cards)","31",
"2015","Columbia University in the City of New York","Social sciences","Total for selected values","619",
"2015","Columbia University in the City of New York","Social sciences","Foreign nationals","339",
"2015","Columbia University in the City of New York","Social sciences","U.S. citizens and permanent residents (non-U.S. citizens holding green cards)","280",
"2014","Total for selected values","Total for selected values","Total for selected values","5,718",
"2014","Columbia University in the City of New York","Total for selected values","Total for selected values","5,718",
"2014","Columbia University in the City of New York","Biological sciences","Total for selected values","760",
"2014","Columbia University in the City of New York","Biological sciences","Foreign nationals","250",
"2014","Columbia University in the City of New York","Biological sciences","U.S. citizens and permanent residents (non-U.S. citizens holding green cards)","510",
"2014","Columbia University in the City of New York","Clinical medicine","Total for selected values","74",
"2014","Columbia University in the City of New York","Clinical medicine","Foreign nationals","11",
"2014","Columbia University in the City of New York","Clinical medicine","U.S. citizens and permanent residents (non-U.S. citizens holding green cards)","63",
"2014","Columbia University in the City of New York","Computer sciences","Total for selected values","592",
"2014","Columbia University in the City of New York","Computer sciences","Foreign nationals","420",
"2014","Columbia University in the City of New York","Computer sciences","U.S. citizens and permanent residents (non-U.S. citizens holding green cards)","172",
"2014","Columbia University in the City of New York","Earth, atmospheric, and ocean sciences","Total for selected values","217",
"2014","Columbia University in the City of New York","Earth, atmospheric, and ocean sciences","Foreign nationals","113",
"2014","Columbia University in the City of New York","Earth, atmospheric, and ocean sciences","U.S. citizens and permanent residents (non-U.S. citizens holding green cards)","104",
"2014","Columbia University in the City of New York","Engineering","Total for selected values","2,229",
"2014","Columbia University in the City of New York","Engineering","Foreign nationals","1,685",
"2014","Columbia University in the City of New York","Engineering","U.S. citizens and permanent residents (non-U.S. citizens holding green cards)","544",
"2014","Columbia University in the City of New York","Mathematics and statistics","Total for selected values","781",
"2014","Columbia University in the City of New York","Mathematics and statistics","Foreign nationals","682",
"2014","Columbia University in the City of New York","Mathematics and statistics","U.S. citizens and permanent residents (non-U.S. citizens holding green cards)","99",
"2014","Columbia University in the City of New York","Neurobiology and neuroscience","Total for selected values","86",
"2014","Columbia University in the City of New York","Neurobiology and neuroscience","Foreign nationals","11",
"2014","Columbia University in the City of New York","Neurobiology and neuroscience","U.S. citizens and permanent residents (non-U.S. citizens holding green cards)","75",
"2014","Columbia University in the City of New York","Other health","Total for selected values","30",
"2014","Columbia University in the City of New York","Other health","Foreign nationals","6",
"2014","Columbia University in the City of New York","Other health","U.S. citizens and permanent residents (non-U.S. citizens holding green cards)","24",
"2014","Columbia University in the City of New York","Physical sciences","Total for selected values","256",
"2014","Columbia University in the City of New York","Physical sciences","Foreign nationals","97",
"2014","Columbia University in the City of New York","Physical sciences","U.S. citizens and permanent residents (non-U.S. citizens holding green cards)","159",
"2014","Columbia University in the City of New York","Psychology","Total for selected values","34",
"2014","Columbia University in the City of New York","Psychology","Foreign nationals","6",
