Data Download from NCSES Interactive Data Tool

Filters,Selected values
"Institution Name","Columbia Univ in the City of New York, Columbia University in the City of New York"

,,,"<measures>","Graduate Students by Demographic Characteristics and Enrollment",
"[Year]","[Institution Name]","[Detailed Fields]","[Citizenship]",
"2016","Total for selected values","Total for selected values","Total for selected values","6,498",
"2016","Columbia University in the City of New York","Total for selected values","Total for selected values","6,498",
"2016","Columbia University in the City of New York","Anthropology","Total for selected values","94",
"2016","Columbia University in the City of New York","Anthropology","Foreign nationals","43",
"2016","Columbia University in the City of New York","Anthropology","U.S. citizens and permanent residents (non-U.S. citizens holding green cards)","51",
"2016","Columbia University in the City of New York","Astronomy and astrophysics","Total for selected values","28",
"2016","Columbia University in the City of New York","Astronomy and astrophysics","Foreign nationals","8",
"2016","Columbia University in the City of New York","Astronomy and astrophysics","U.S. citizens and permanent residents (non-U.S. citizens holding green cards)","20",
"2016","Columbia University in the City of New York","Biochemistry","Total for selected values","5",
"2016","Columbia University in the City of New York","Biochemistry","Foreign nationals","1",
"2016","Columbia University in the City of New York","Biochemistry","U.S. citizens and permanent residents (non-U.S. citizens holding green cards)","4",
"2016","Columbia University in the City of New York","Biology","Total for selected values","113",
"2016","Columbia University in the City of New York","Biology","Foreign nationals","40",
"2016","Columbia University in the City of New York","Biology","U.S. citizens and permanent residents (non-U.S. citizens holding green cards)","73",
"2016","Columbia University in the City of New York","Biomedical engineering","Total for selected values","167",
"2016","Columbia University in the City of New York","Biomedical engineering","Foreign nationals","75",
"2016","Columbia University in the City of New York","Biomedical engineering","U.S. citizens and permanent residents (non-U.S. citizens holding green cards)","92",
"2016","Columbia University in the City of New York","Biometry and epidemiology","Total for selected values","319",
"2016","Columbia University in the City of New York","Biometry and epidemiology","Foreign nationals","124",
"2016","Columbia University in the City of New York","Biometry and epidemiology","U.S. citizens and permanent residents (non-U.S. citizens holding green cards)","195",
"2016","Columbia University in the City of New York","Biophysics","Total for selected values","111",
"2016","Columbia University in the City of New York","Biophysics","Foreign nationals","18",
"2016","Columbia University in the City of New York","Biophysics","U.S. citizens and permanent residents (non-U.S. citizens holding green cards)","93",
"2016","Columbia University in the City of New York","Biosciences not elsewhere classified","Total for selected values","100",
"2016","Columbia University in the City of New York","Biosciences not elsewhere classified","Foreign nationals","28",
"2016","Columbia University in the City of New York","Biosciences not elsewhere classified","U.S. citizens and permanent residents (non-U.S. citizens holding green cards)","72",
"2016","Columbia University in the City of New York","Chemical engineering","Total for selected values","267",
"2016","Columbia University in the City of New York","Chemical engineering","Foreign nationals","127",
"2016","Columbia University in the City of New York","Chemical engineering","U.S. citizens and permanent residents (non-U.S. citizens holding green cards)","140",
"2016","Columbia University in the City of New York","Chemistry","Total for selected values","135",
"2016","Columbia University in the City of New York","Chemistry","Foreign nationals","41",
"2016","Columbia University in the City of New York","Chemistry","U.S. citizens and permanent residents (non-U.S. citizens holding green cards)","94",
"2016","Columbia University in the City of New York","Civil engineering","Total for selected values","234",
"2016","Columbia University in the City of New York","Civil engineering","Foreign nationals","152",
"2016","Columbia University in the City of New York","Civil engineering","U.S. citizens and permanent residents (non-U.S. citizens holding green cards)","82",
"2016","Columbia University in the City of New York","Computer sciences","Total for selected values","562",
"2016","Columbia University in the City of New York","Computer sciences","Foreign nationals","398",
"2016","Columbia University in the City of New York","Computer sciences","U.S. citizens and permanent residents (non-U.S. citizens holding green cards)","164",
"2016","Columbia University in the City of New York","Earth, atmospheric, and ocean sciences not elsewhere classified","Total for selected values","124",
"2016","Columbia University in the City of New York","Earth, atmospheric, and ocean sciences not elsewhere classified","Foreign nationals","88",
"2016","Columbia University in the City of New York","Earth, atmospheric, and ocean sciences not elsewhere classified","U.S. citizens and permanent residents (non-U.S. citizens holding green cards)","36",
"2016","Columbia University in the City of New York","Economics (except agricultural)","Total for selected values","202",
"2016","Columbia University in the City of New York","Economics (except agricultural)","Foreign nationals","155",
"2016","Columbia University in the City of New York","Economics (except agricultural)","U.S. citizens and permanent residents (non-U.S. citizens holding green cards)","47",
"2016","Columbia University in the City of New York","Electrical engineering","Total for selected values","668",
"2016","Columbia University in the City of New York","Electrical engineering","Foreign nationals","493",
"2016","Columbia University in the City of New York","Electrical engineering","U.S. citizens and permanent residents (non-U.S. citizens holding green cards)","175",
"2016","Columbia University in the City of New York","Engineering not elsewhere classified","Total for selected values","197",
"2016","Columbia University in the City of New York","Engineering not elsewhere classified","Foreign nationals","135",
"2016","Columbia University in the City of New York","Engineering not elsewhere classified","U.S. citizens and permanent residents (non-U.S. citizens holding green cards)","62",
"2016","Columbia University in the City of New York","Engineering science, mechanics, and physics","Total for selected values","214",
"2016","Columbia University in the City of New York","Engineering science, mechanics, and physics","Foreign nationals","130",
"2016","Columbia University in the City of New York","Engineering science, mechanics, and physics","U.S. citizens and permanent residents (non-U.S. citizens holding green cards)","84",
"2016","Columbia University in the City of New York","Genetics","Total for selected values","31",
"2016","Columbia University in the City of New York","Genetics","Foreign nationals","3",
"2016","Columbia University in the City of New York","Genetics","U.S. citizens and permanent residents (non-U.S. citizens holding green cards)","28",
"2016","Columbia University in the City of New York","Geosciences","Total for selected values","128",
"2016","Columbia University in the City of New York","Geosciences","Foreign nationals","41",
"2016","Columbia University in the City of New York","Geosciences","U.S. citizens and permanent residents (non-U.S. citizens holding green cards)","87",
"2016","Columbia University in the City of New York","Industrial and manufacturing engineering","Total for selected values","816",
"2016","Columbia University in the City of New York","Industrial and manufacturing engineering","Foreign nationals","752",
"2016","Columbia University in the City of New York","Industrial and manufacturing engineering","U.S. citizens and permanent residents (non-U.S. citizens holding green cards)","64",
"2016","Columbia University in the City of New York","Mathematics and applied mathematics","Total for selected values","227",
"2016","Columbia University in the City of New York","Mathematics and applied mathematics","Foreign nationals","201",
"2016","Columbia University in the City of New York","Mathematics and applied mathematics","U.S. citizens and permanent residents (non-U.S. citizens holding green cards)","26",
"2016","Columbia University in the City of New York","Mechanical engineering","Total for selected values","326",
"2016","Columbia University in the City of New York","Mechanical engineering","Foreign nationals","180",
"2016","Columbia University in the City of New York","Mechanical engineering","U.S. citizens and permanent residents (non-U.S. citizens holding green cards)","146",
"2016","Columbia University in the City of New York","Microbiology, immunology, and virology","Total for selected values","21",
"2016","Columbia University in the City of New York","Microbiology, immunology, and virology","Foreign nationals","5",
"2016","Columbia University in the City of New York","Microbiology, immunology, and virology","U.S. citizens and permanent residents (non-U.S. citizens holding green cards)","16",
"2016","Columbia University in the City of New York","Neurobiology and neuroscience","Total for selected values","102",
"2016","Columbia University in the City of New York","Neurobiology and neuroscience","Foreign nationals","8",
"2016","Columbia University in the City of New York","Neurobiology and neuroscience","U.S. citizens and permanent residents (non-U.S. citizens holding green cards)","94",
"2016","Columbia University in the City of New York","Nursing science","Total for selected values","22",
"2016","Columbia University in the City of New York","Nursing science","Foreign nationals","3",
"2016","Columbia University in the City of New York","Nursing science","U.S. citizens and permanent residents (non-U.S. citizens holding green cards)","19",
"2016","Columbia University in the City of New York","Nutrition","Total for selected values","30",
"2016","Columbia University in the City of New York","Nutrition","Foreign nationals","3",
"2016","Columbia University in the City of New York","Nutrition","U.S. citizens and permanent residents (non-U.S. citizens holding green cards)","27",
"2016","Columbia University in the City of New York","Pathology","Total for selected values","27",
