Data Download from NCSES Interactive Data Tool

Filters,Selected values
"Institution Name","13 of 1070"
"Citizenship","Foreign nationals"

,,"<measures>","Graduate Students by Demographic Characteristics and Enrollment",
"[Year]","[Institution Name]","[Citizenship]",
"2016","Total for selected values","Total for selected values","18,017",
"2016","Brown University","Total for selected values","754",
"2016","Brown University","Foreign nationals","754",
"2016","Columbia University in the City of New York","Total for selected values","4,082",
"2016","Columbia University in the City of New York","Foreign nationals","4,082",
"2016","Cornell University","Total for selected values","2,435",
"2016","Cornell University","Foreign nationals","2,435",
"2016","Dartmouth College","Total for selected values","343",
"2016","Dartmouth College","Foreign nationals","343",
"2016","Duke University","Total for selected values","1,084",
"2016","Duke University","Foreign nationals","1,084",
"2016","Harvard University","Total for selected values","1,841",
"2016","Harvard University","Foreign nationals","1,841",
"2016","Massachusetts Institute of Technology","Total for selected values","2,088",
"2016","Massachusetts Institute of Technology","Foreign nationals","2,088",
"2016","Princeton University","Total for selected values","932",
"2016","Princeton University","Foreign nationals","932",
"2016","Stanford University","Total for selected values","2,546",
"2016","Stanford University","Foreign nationals","2,546",
"2016","University of Pennsylvania","Total for selected values","1,081",
"2016","University of Pennsylvania","Foreign nationals","1,081",
"2016","Yale University","Total for selected values","831",
"2016","Yale University","Foreign nationals","831",
"2015","Total for selected values","Total for selected values","17,756",
"2015","Brown University","Total for selected values","733",
"2015","Brown University","Foreign nationals","733",
"2015","Columbia University in the City of New York","Total for selected values","3,976",
"2015","Columbia University in the City of New York","Foreign nationals","3,976",
"2015","Cornell University","Total for selected values","2,410",
"2015","Cornell University","Foreign nationals","2,410",
"2015","Dartmouth College","Total for selected values","344",
"2015","Dartmouth College","Foreign nationals","344",
"2015","Duke University","Total for selected values","1,084",
"2015","Duke University","Foreign nationals","1,084",
"2015","Harvard University","Total for selected values","1,757",
"2015","Harvard University","Foreign nationals","1,757",
"2015","Massachusetts Institute of Technology","Total for selected values","2,067",
"2015","Massachusetts Institute of Technology","Foreign nationals","2,067",
"2015","Princeton University","Total for selected values","922",
"2015","Princeton University","Foreign nationals","922",
"2015","Stanford University","Total for selected values","2,583",
"2015","Stanford University","Foreign nationals","2,583",
"2015","University of Pennsylvania","Total for selected values","1,091",
"2015","University of Pennsylvania","Foreign nationals","1,091",
"2015","Yale University","Total for selected values","789",
"2015","Yale University","Foreign nationals","789",
"2014","Total for selected values","Total for selected values","17,035",
"2014","Brown University","Total for selected values","653",
"2014","Brown University","Foreign nationals","653",
"2014","Columbia University in the City of New York","Total for selected values","3,631",
"2014","Columbia University in the City of New York","Foreign nationals","3,631",
"2014","Cornell University","Total for selected values","2,245",
"2014","Cornell University","Foreign nationals","2,245",
"2014","Dartmouth College","Total for selected values","319",
"2014","Dartmouth College","Foreign nationals","319",
"2014","Duke University","Total for selected values","1,046",
"2014","Duke University","Foreign nationals","1,046",
"2014","Harvard University","Total for selected values","1,774",
"2014","Harvard University","Foreign nationals","1,774",
"2014","Massachusetts Institute of Technology","Total for selected values","2,029",
"2014","Massachusetts Institute of Technology","Foreign nationals","2,029",
"2014","Princeton University","Total for selected values","885",
"2014","Princeton University","Foreign nationals","885",
"2014","Stanford University","Total for selected values","2,533",
"2014","Stanford University","Foreign nationals","2,533",
"2014","University of Pennsylvania","Total for selected values","1,144",
"2014","University of Pennsylvania","Foreign nationals","1,144",
"2014","Yale University","Total for selected values","776",
"2014","Yale University","Foreign nationals","776",
"2013","Total for selected values","Total for selected values","16,197",
"2013","Brown University","Total for selected values","620",
"2013","Brown University","Foreign nationals","620",
"2013","Columbia University in the City of New York","Total for selected values","3,137",
"2013","Columbia University in the City of New York","Foreign nationals","3,137",
"2013","Cornell University","Total for selected values","2,171",
"2013","Cornell University","Foreign nationals","2,171",
"2013","Dartmouth College","Total for selected values","333",
"2013","Dartmouth College","Foreign nationals","333",
"2013","Duke University","Total for selected values","938",
"2013","Duke University","Foreign nationals","938",
"2013","Harvard University","Total for selected values","1,874",
"2013","Harvard University","Foreign nationals","1,874",
"2013","Massachusetts Institute of Technology","Total for selected values","1,996",
"2013","Massachusetts Institute of Technology","Foreign nationals","1,996",
"2013","Princeton University","Total for selected values","842",
"2013","Princeton University","Foreign nationals","842",
"2013","Stanford University","Total for selected values","2,386",
"2013","Stanford University","Foreign nationals","2,386",
"2013","University of Pennsylvania","Total for selected values","1,098",
"2013","University of Pennsylvania","Foreign nationals","1,098",
"2013","Yale University","Total for selected values","802",
"2013","Yale University","Foreign nationals","802",
"2012","Total for selected values","Total for selected values","15,488",
"2012","Brown University","Total for selected values","610",
"2012","Brown University","Foreign nationals","610",
"2012","Columbia University in the City of New York","Total for selected values","2,923",
"2012","Columbia University in the City of New York","Foreign nationals","2,923",
"2012","Cornell University","Total for selected values","2,163",
"2012","Cornell University","Foreign nationals","2,163",
"2012","Dartmouth College","Total for selected values","331",
"2012","Dartmouth College","Foreign nationals","331",
"2012","Duke University","Total for selected values","916",
"2012","Duke University","Foreign nationals","916",
"2012","Harvard University","Total for selected values","1,772",
"2012","Harvard University","Foreign nationals","1,772",
"2012","Massachusetts Institute of Technology","Total for selected values","1,934",
"2012","Massachusetts Institute of Technology","Foreign nationals","1,934",
"2012","Princeton University","Total for selected values","818",
"2012","Princeton University","Foreign nationals","818",
"2012","Stanford University","Total for selected values","2,339",
"2012","Stanford University","Foreign nationals","2,339",
"2012","University of Pennsylvania","Total for selected values","910",
"2012","University of Pennsylvania","Foreign nationals","910",
"2012","Yale University","Total for selected values","772",
"2012","Yale University","Foreign nationals","772",
"2011","Total for selected values","Total for selected values","15,211",
"2011","Brown University","Total for selected values","575",
"2011","Brown University","Foreign nationals","575",
"2011","Columbia University in the City of New York","Total for selected values","2,590",
"2011","Columbia University in the City of New York","Foreign nationals","2,590",
"2011","Cornell University","Total for selected values","2,085",
"2011","Cornell University","Foreign nationals","2,085",
"2011","Dartmouth College","Total for selected values","290",
"2011","Dartmouth College","Foreign nationals","290",
"2011","Duke University","Total for selected values","802",
"2011","Duke University","Foreign nationals","802",
"2011","Harvard University","Total for selected values","1,718",
"2011","Harvard University","Foreign nationals","1,718",
"2011","Massachusetts Institute of Technology","Total for selected values","1,882",
"2011","Massachusetts Institute of Technology","Foreign nationals","1,882",
"2011","Princeton University","Total for selected values","753",
"2011","Princeton University","Foreign nationals","753",
"2011","Stanford University","Total for selected values","2,290",
"2011","Stanford University","Foreign nationals","2,290",
"2011","University of Chicago","Total for selected values","706",
"2011","University of Chicago","Foreign nationals","706",
"2011","University of Pennsylvania","Total for selected values","780",
"2011","University of Pennsylvania","Foreign nationals","780",
"2011","Yale University","Total for selected values","740",
"2011","Yale University","Foreign nationals","740",
"2010","Total for selected values","Total for selected values","14,509",
"2010","Brown University","Total for selected values","519",
"2010","Brown University","Foreign nationals","519",
"2010","Columbia University in the City of New York","Total for selected values","2,180",
"2010","Columbia University in the City of New York","Foreign nationals","2,180",
"2010","Cornell University","Total for selected values","2,034",
"2010","Cornell University","Foreign nationals","2,034",
"2010","Dartmouth College","Total for selected values","300",
"2010","Dartmouth College","Foreign nationals","300",
"2010","Duke University","Total for selected values","746",
"2010","Duke University","Foreign nationals","746",
"2010","Harvard University","Total for selected values","1,670",
"2010","Harvard University","Foreign nationals","1,670",
"2010","Massachusetts Institute of Technology","Total for selected values","1,833",
"2010","Massachusetts Institute of Technology","Foreign nationals","1,833",
"2010","Princeton University","Total for selected values","751",
"2010","Princeton University","Foreign nationals","751",
"2010","Stanford University","Total for selected values","2,253",
"2010","Stanford University","Foreign nationals","2,253",
"2010","University of Chicago","Total for selected values","710",
"2010","University of Chicago","Foreign nationals","710",
"2010","University of Pennsylvania","Total for selected values","802",
"2010","University of Pennsylvania","Foreign nationals","802",
"2010","Yale University","Total for selected values","711",
"2010","Yale University","Foreign nationals","711",
"2009","Total for selected values","Total for selected values","14,237",
"2009","Brown University","Total for selected values","490",
"2009","Brown University","Foreign nationals","490",
"2009","Columbia Univ in the City of New York","Total for selected values","1,986",
"2009","Columbia Univ in the City of New York","Foreign nationals","1,986",
"2009","Cornell University","Total for selected values","1,822",
"2009","Cornell University","Foreign nationals","1,822",
"2009","Dartmouth College","Total for selected values","275",
"2009","Dartmouth College","Foreign nationals","275",
"2009","Duke University","Total for selected values","681",
"2009","Duke University","Foreign nationals","681",
"2009","Harvard University","Total for selected values","1,680",
"2009","Harvard University","Foreign nationals","1,680",
"2009","Massachusetts Institute of Technology","Total for selected values","2,297",
"2009","Massachusetts Institute of Technology","Foreign nationals","2,297",
"2009","Princeton University","Total for selected values","705",
